EstablecimientoCodigo;EstablecimientoGlosa;EstablecimientoCodigoAntiguo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion
133281;Policlínico Instituto de Seguridad del Trabajo de Ancud;33-281;;;10;Región de Los Lagos;10;SEREMI de Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;10202;Ancud;Calle;251;Pudeto;652622259;;NO;No Aplica;No Aplica;-41.868452;-73.827065;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133200;Vacunatorio Rosalía Muñoz;33-200;;;10;Región de Los Lagos;10;SEREMI de Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;No Aplica;Privado;Primario;10202;Ancud;Calle;308;Aníbal Pinto;652623096;;NO;No Aplica;No Aplica;-41.868416;-73.825854;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133205;Laboratorio Clínico y Hematológico Ancud;33-205;;;10;Región de Los Lagos;10;SEREMI de Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;No Aplica;Privado;No Aplica;10202;Ancud;Calle;308;Aníbal Pinto;;11-11-2003;NO;No Aplica;No Aplica;-41.86839;-73.825837;Privado;Vigente en Operación Habitual;No Aplica;No Aplica;
133390;Centro de Salud Familiar Dr. Manuel Ferreira Guzman;33-390;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar;Municipal;Primario;10202;Ancud;Calle;750;Almirante Latorre;652623623;;NO;No Aplica;No Aplica;-41.8668;-73.81661;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
201067;SAR ANCUD;;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;No Aplica;Municipal;Primario;10202;Ancud;Calle;750;Almirante Latorre;652623623;31-05-2021;SI;Urgencia Ambulatoria (SAR);No Aplica;-41.866796;-73.816608;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133155;Hospital de Ancud;33-155;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;No Aplica;Servicio de Salud;Terciario;10202;Ancud;Calle;301;Almirante Latorre;652656356;;SI;Urgencia Hospitalaria (UEH);No Aplica;-41.86523;-73.823832;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
200401;Laboratorio Clínico y Hematológico San José;33-905;;;10;Región de Los Lagos;10;SEREMI de Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;No Aplica;Privado;No Aplica;10202;Ancud;Calle;279;Baquedano;;28-06-1996;NO;No Aplica;No Aplica;-41.864178;-73.827893;Privado;Vigente en Operación Habitual;No Aplica;No Aplica;
200071;Policlínico de la Mutual de Seguridad CChC Ancud;33-971;;;10;Región de Los Lagos;10;SEREMI de Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;10202;Ancud;Calle;503;O'Higgins;652623028;10-11-1998;NO;No Aplica;No Aplica;-41.863985;-73.827889;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
124458;Posta de Salud Rural Pergue;24-458;;;10;Región de Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Pergue;;;NO;No Aplica;No Aplica;-41.85727;-72.99501;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133486;Posta de Salud Rural Chacao;33-486;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Aldea de Chacao;652696244;;NO;No Aplica;No Aplica;-41.82912;-73.5274;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
200736;SUR Chacao;33-915;33-486;133486.0;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Aldea de Chacao;;;SI;Urgencia Ambulatoria (SUR);No Aplica;-41.828651;-73.52584;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
